,date,rating,title,review
0,июнь 2019 г. • Семейный отдых,"5,0 из 5 кружков",Отличная остановка,"Есть место и для купания и для красивых фотографий. Есть ресторан, но цены в нем высокие, советую сперва почитать меню."
1,апр. 2019 г. • Для двоих,"3,0 из 5 кружков",Жалко это чудесное место,"Этот пляж не вмещает толпы туристов, которые привозят сюда ежечасно. Вода мутная и каждый метр квадратный наполнен людьми.Место красивое, но полюбоваться им удастся, если вы окажетесь здесь очень ранним утром.Лежаки надо брать с собой, попить тоже."
2,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Райский уголок,"Разве нужны вам острова!!! Этот пляж может заменить вам поездки на острова, пляж «Баунти», чистая вода, безумно красивые горы. Здесь надо побывать, обязательно.Добраться сюда можно с пляжа Ао Нанг на тайских лодочках до пляжа Райли за 150 бат.Возьмите с собой еду, тут нет кафешек, есть лодочки кафешки, но так как нет проточной воды есть вероятность съесть что нибудь не очень хорошее.С утра тут всегда много народу, могут быть неудобства .Несмотря на все сказанное выше, тут сказочно красиво!!!"
3,дек. 2018 г. • С друзьями,"4,0 из 5 кружков",Идеальный на мой взгляд пляж!,"Пляж нем очень понравился,я вообще безумно влюблена в провинцию Краби.Пляж не большой,но места всем хватает. Песочек белый, мягкий и мелкий. Вода идеально чистая и прозрачная. Очень живописный вид на скалы и острова. Есть естественная тень от деревьев, парочка кафе.Дно песчаное с пологим входом. Преимущественный континент это молодежь иностранцы, играют на гитаре и бамбуковых барабанах, очень калоритно. Так на пляж есть своеобразная достопримечательность,это пещера богини плодородия,в которую верующие и не только сносят фаллосы всех цветов и размеров. Мы добрались до пляжа на качке,с соседнего пляжа который нам не понравился.Очень запоминающееся место, жду когда снова сюда вернусь.Из минусов только труднодоступность, можно добраться только на арендованной лодке или на каяке."
4,март 2019 г. • Семейный отдых,"2,0 из 5 кружков","Мелко, людно, шумно...","Абсолютно непонятны многочисленные восторги. Толпа народу уже в 8 утра, в море чувствуешь себя креветкой в тарелке с том ямом, насколько людно. Чад от постоянно прибывающих и отплывающих лодок. Расхваленный Храм деревянных пиписок - унылое и жалкое зрелище. "
5,март 2019 г. • С друзьями,"1,0 из 5 кружков",Были во время экскурсии на 4 острова да и раньше,"Во время экскурсий вообще делать нечего там , народу дофига , все куда-то идут и не понятно куда. Если просто приехать , тоже особо делать нечего. Есть пляжи и по лучше и добраться до них проще"
6,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",отличны пляж,ето самы прекрасны пляж на острове Реили есть тень от солнца  прекрасны вид чистая вода можно полазить по скалам и камнями на лодках отличная еда
7,нояб. 2018 г. • Для двоих,"3,0 из 5 кружков","Красивая природа, но слишком много людей","На этот пляж можно добраться из Ао Нанга за 200 бат в обе стороны. Как и во всей провинции, пляж окружен красивой природой, известняковыми скалами и бирюзовой водой. Интересно посмотреть, но больше одного раза туда не появилось желания ехать. Во время высокого сезона слишком много людей для такого маленького пляжа протяженностью меньше 500 метров. Если ехать туда, то с самого утра. Соседний пляж Рейли понравился намного больше."
8,февр. 2019 г. • Для двоих,"5,0 из 5 кружков",Прекрасный пляж на Рейли!,"Пляж прекрасный, Вода чудесная, вид просто волшебный! Особенно если плавать возле скалы! На скале Rock можно взять снаряжение и позаниматься скалолазанием. Особенно впечатляет дорога вдоль этой скалы с пляжа Рейли Вест на Прананг. Приезжали с Аонанге два раза, один из которых с ночёвкой в отеле Railay Bay. Рано утром пошли на Прананг, никого на пляже не было, вода была отличная, получили несказанное удовольствие. На пляж привозят туристов с 10 -16, поэтому он битком, но места всем хватает! Пляж шикарный!!! Есть обзор отеля и пляжей на Рейли на моем канале на YouTube МиленаМика travel, заходите, подписывайтесь,там много интересного)!👍🏻"
9,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Замечательный пляж в окрестностях Ао Нанга,"Добраться сюда можно за 100 бат в одну сторону с человека и прогулявшись вдоль скал с Рейли Вест. Уехать обратно сможете на любой лодке до 6.00 вечера.По полуострову гуляет множество обезьянок, некоторые с малышами - очень занятно на них смотреть. Скалы рядом с пляжем поражают воображение. Вода чистая, песок белый, что еще нужно для счастья? Да, конечно, чуть-чуть поменьше бы туристов, но что делать, все хотят насладиться прекрасной природой здешних мест."
0,февр. 2020 г.,"5,0 из 5 кружков",Лучший пляж!,"Обязательное к посещению место! Пляж нереальной красоты! Большая часть людей тусуется в начале пляжа, возле пещеры. Там поглубже, что актуально во время отлива. Мы же обычно уходили в самый дальний конец, там почти никого нет, красивые скалы, отличный вид."
1,март 2020 г. • Для двоих,"5,0 из 5 кружков",Лучший пляж рядом с Ао Нанг,"Отличное место, недалеко от Ао Нанг, на острове Рейли.Можно добраться на лодке, либо пешком - 10 минут от Рейли Вест"
2,янв. 2020 г. • Семейный отдых,"4,0 из 5 кружков",Своеобразное место,"Пляж достаточно красивый. Вода не самая чистая, но вполне хорошая. Сам пляж с чистым белым песком, очень большой, но тем не менее народу на пляже оооочень много, на самом пляже и в воде. Скала, конечно, очень красивая, но исключительно для фото. Очень интересно, что еда продается с лодок, еда есть всякая: и том ям и кукуруза, и пиво в пакетиках тоже продадут:) туалета так и не нашли, но можно попросится в отеле. Мы ехали с совершенно другими ожиданиями, этот пляж их не оправдал, поэтому судить сложно. Но впечатления очень положительные."
3,дек. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Восхитительный пляж для всей семьи ,"Лучший пляж Рейли! Входит в топ 10 пляжей Тайланда. Кто говорит что много людей приехал сюда с обед и от лодки не отходил больше 10 метров. Прогуляйтесь по всему побережью, загляните в пещеру на дальнем конце пляжа - это восхитительно и подняться сможет почти любой но в удобной обуви. Утром и вечером на пляже восхитительно. Насладитесь заходом солнце именно на этом пляже. Вечером видно как летят по небу толи большие летучие мыши толи птицы. Песок мелкий и мягкий. Возьмите каяк и приплывите сюда на закате. Наслаждайтесь друзья. "
4,авг. 2019 г.,"5,0 из 5 кружков",Скалы,Красивое место. В Краби повсюду прекрасные известняковые скалы. Рекомендую к посещению. Море яркое теплейшее и спокойное
5,дек. 2019 г.,"5,0 из 5 кружков",три в одном,"Я бы разделил пляж на три зоны. Восточная часть экскурсионная, средняя - пляжная-попсовая и западная часть - отшельническая. Поэтому каждый найдет себе здесь местечко по вкусу. Те, кто пишет, что здесь тесно и шумно, значит был с экскурсией и в принципе не мог оценить западную половину. Хотя надо признаться, что большинство узнают об этом пляже именно из экскурсии по четырем островам. В восточной части кроме достопримечательностей присутствует развлекаловка в виде скалолазов, которых можно наблюдать утром и вечером. Во время большого прилива от пляжа остается узкая полоска. Кто же приплывает сюда на пляжный отдых, то в основном располагаются по центру ближе к лонгтейлам с едой. Отшельники бросают кости в западной части, более спокойной, особенно после 10 утра, когда лонгтейлы перестают причаливать с этой стороны. Как по мне, то по цене-качеству - это самый лучший пляж в Ао Нанге."
6,нояб. 2019 г.,"5,0 из 5 кружков",Красивейший пляж на Рейлей,"Мы приплыли из Ао-Нанга довольно рано, около 8.00, поэтому застали пляж довольно пустым. Потом, конечно, понаехали. Сюда приплывают лодочки со снедью. Цены вполне нормальные, соизмеримые с ценами в Ао-Нанге. Можно перекус с собой не тащить. Например, том ям стоил 120 бат (правда, порция была поменьше обычной кафешной), пад тай с морепродуктами - 80.Если вы неплохой пловец, обязательно сплавайте вокруг скалы - там такие сталактиты, а еще грот!"
7,нояб. 2019 г. • Для двоих,"4,0 из 5 кружков",Красиво и чисто ,"Действительно красивый и более-менее чистый пляж.Всего за 100 бат от АоНанга вас туда довезут на лодке. Есть там особо негде а там где есть еда , она дорогая и того не стоит. Съездить туда можно только для того чтобы полюбоваться видами скал и сделать пару фотографий. "
8,февр. 2019 г.,"5,0 из 5 кружков",Классное место!,"Очень живописный пляж! Но приезжать лучше рано утром, когда мало людей. Иначе можно не найти место.Иногда был закрыт туалет, что не очень удобно."
9,апр. 2019 г. • Для двоих,"4,0 из 5 кружков",Знакомство с Пещерой Пхра Нанг и историей принцессы 👸🏼 ,"Ничего особенного на первый взгляд 👀, ну куча мужских достоинств в пещере .. так что мы сначала оценили бомбический пляж 🏖 а к 11 ти часам и его популярность ! Народу было как в Московском метро в час пик 😄.   Потом уже подошли «алтарю» и ощутили всю святость пещеры для тайцев , это мы прыгаем , фоткаемся и смеёмся , а они отдают дань уважения принцессе Пхра Нанг и ухаживают за пещерой. Как раз 11.04.2019 было Др моей подруги , так я забацала видео поздравление и естественно пожелала ей активного мужчину в её жизни 😂, по фото ниже вы все поймёте !  К сожалению , я не восприняла пещеру в серьёз , а вот история принцессы 👸🏼 интересная , прочтите , прежде чем посетить)))) • по пути к Пхра Нанг , есть View Point  не поленитесь и заберитесь вас ждут чарующие виды😍(желательны кроссовки) !!! P.s пляж 🏝 в отлив вообще прекрасен, можно пролезть на скалы с левой стороны.  А вообще берите каяк , увидите куда больше ))) "
0,июнь 2019 г. • Семейный отдых,"5,0 из 5 кружков",Отличная остановка,"Есть место и для купания и для красивых фотографий. Есть ресторан, но цены в нем высокие, советую сперва почитать меню."
1,апр. 2019 г. • Для двоих,"3,0 из 5 кружков",Жалко это чудесное место,"Этот пляж не вмещает толпы туристов, которые привозят сюда ежечасно. Вода мутная и каждый метр квадратный наполнен людьми.Место красивое, но полюбоваться им удастся, если вы окажетесь здесь очень ранним утром.Лежаки надо брать с собой, попить тоже."
2,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Райский уголок,"Разве нужны вам острова!!! Этот пляж может заменить вам поездки на острова, пляж «Баунти», чистая вода, безумно красивые горы. Здесь надо побывать, обязательно.Добраться сюда можно с пляжа Ао Нанг на тайских лодочках до пляжа Райли за 150 бат.Возьмите с собой еду, тут нет кафешек, есть лодочки кафешки, но так как нет проточной воды есть вероятность съесть что нибудь не очень хорошее.С утра тут всегда много народу, могут быть неудобства .Несмотря на все сказанное выше, тут сказочно красиво!!!"
3,дек. 2018 г. • С друзьями,"4,0 из 5 кружков",Идеальный на мой взгляд пляж!,"Пляж нем очень понравился,я вообще безумно влюблена в провинцию Краби.Пляж не большой,но места всем хватает. Песочек белый, мягкий и мелкий. Вода идеально чистая и прозрачная. Очень живописный вид на скалы и острова. Есть естественная тень от деревьев, парочка кафе.Дно песчаное с пологим входом. Преимущественный континент это молодежь иностранцы, играют на гитаре и бамбуковых барабанах, очень калоритно. Так на пляж есть своеобразная достопримечательность,это пещера богини плодородия,в которую верующие и не только сносят фаллосы всех цветов и размеров. Мы добрались до пляжа на качке,с соседнего пляжа который нам не понравился.Очень запоминающееся место, жду когда снова сюда вернусь.Из минусов только труднодоступность, можно добраться только на арендованной лодке или на каяке."
4,март 2019 г. • Семейный отдых,"2,0 из 5 кружков","Мелко, людно, шумно...","Абсолютно непонятны многочисленные восторги. Толпа народу уже в 8 утра, в море чувствуешь себя креветкой в тарелке с том ямом, насколько людно. Чад от постоянно прибывающих и отплывающих лодок. Расхваленный Храм деревянных пиписок - унылое и жалкое зрелище. "
5,март 2019 г. • С друзьями,"1,0 из 5 кружков",Были во время экскурсии на 4 острова да и раньше,"Во время экскурсий вообще делать нечего там , народу дофига , все куда-то идут и не понятно куда. Если просто приехать , тоже особо делать нечего. Есть пляжи и по лучше и добраться до них проще"
6,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",отличны пляж,ето самы прекрасны пляж на острове Реили есть тень от солнца  прекрасны вид чистая вода можно полазить по скалам и камнями на лодках отличная еда
7,нояб. 2018 г. • Для двоих,"3,0 из 5 кружков","Красивая природа, но слишком много людей","На этот пляж можно добраться из Ао Нанга за 200 бат в обе стороны. Как и во всей провинции, пляж окружен красивой природой, известняковыми скалами и бирюзовой водой. Интересно посмотреть, но больше одного раза туда не появилось желания ехать. Во время высокого сезона слишком много людей для такого маленького пляжа протяженностью меньше 500 метров. Если ехать туда, то с самого утра. Соседний пляж Рейли понравился намного больше."
8,февр. 2019 г. • Для двоих,"5,0 из 5 кружков",Прекрасный пляж на Рейли!,"Пляж прекрасный, Вода чудесная, вид просто волшебный! Особенно если плавать возле скалы! На скале Rock можно взять снаряжение и позаниматься скалолазанием. Особенно впечатляет дорога вдоль этой скалы с пляжа Рейли Вест на Прананг. Приезжали с Аонанге два раза, один из которых с ночёвкой в отеле Railay Bay. Рано утром пошли на Прананг, никого на пляже не было, вода была отличная, получили несказанное удовольствие. На пляж привозят туристов с 10 -16, поэтому он битком, но места всем хватает! Пляж шикарный!!! Есть обзор отеля и пляжей на Рейли на моем канале на YouTube МиленаМика travel, заходите, подписывайтесь,там много интересного)!👍🏻"
9,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Замечательный пляж в окрестностях Ао Нанга,"Добраться сюда можно за 100 бат в одну сторону с человека и прогулявшись вдоль скал с Рейли Вест. Уехать обратно сможете на любой лодке до 6.00 вечера.По полуострову гуляет множество обезьянок, некоторые с малышами - очень занятно на них смотреть. Скалы рядом с пляжем поражают воображение. Вода чистая, песок белый, что еще нужно для счастья? Да, конечно, чуть-чуть поменьше бы туристов, но что делать, все хотят насладиться прекрасной природой здешних мест."
0,февр. 2020 г.,"5,0 из 5 кружков",Лучший пляж!,"Обязательное к посещению место! Пляж нереальной красоты! Большая часть людей тусуется в начале пляжа, возле пещеры. Там поглубже, что актуально во время отлива. Мы же обычно уходили в самый дальний конец, там почти никого нет, красивые скалы, отличный вид."
1,март 2020 г. • Для двоих,"5,0 из 5 кружков",Лучший пляж рядом с Ао Нанг,"Отличное место, недалеко от Ао Нанг, на острове Рейли.Можно добраться на лодке, либо пешком - 10 минут от Рейли Вест"
2,янв. 2020 г. • Семейный отдых,"4,0 из 5 кружков",Своеобразное место,"Пляж достаточно красивый. Вода не самая чистая, но вполне хорошая. Сам пляж с чистым белым песком, очень большой, но тем не менее народу на пляже оооочень много, на самом пляже и в воде. Скала, конечно, очень красивая, но исключительно для фото. Очень интересно, что еда продается с лодок, еда есть всякая: и том ям и кукуруза, и пиво в пакетиках тоже продадут:) туалета так и не нашли, но можно попросится в отеле. Мы ехали с совершенно другими ожиданиями, этот пляж их не оправдал, поэтому судить сложно. Но впечатления очень положительные."
3,дек. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Восхитительный пляж для всей семьи ,"Лучший пляж Рейли! Входит в топ 10 пляжей Тайланда. Кто говорит что много людей приехал сюда с обед и от лодки не отходил больше 10 метров. Прогуляйтесь по всему побережью, загляните в пещеру на дальнем конце пляжа - это восхитительно и подняться сможет почти любой но в удобной обуви. Утром и вечером на пляже восхитительно. Насладитесь заходом солнце именно на этом пляже. Вечером видно как летят по небу толи большие летучие мыши толи птицы. Песок мелкий и мягкий. Возьмите каяк и приплывите сюда на закате. Наслаждайтесь друзья. "
4,авг. 2019 г.,"5,0 из 5 кружков",Скалы,Красивое место. В Краби повсюду прекрасные известняковые скалы. Рекомендую к посещению. Море яркое теплейшее и спокойное
5,дек. 2019 г.,"5,0 из 5 кружков",три в одном,"Я бы разделил пляж на три зоны. Восточная часть экскурсионная, средняя - пляжная-попсовая и западная часть - отшельническая. Поэтому каждый найдет себе здесь местечко по вкусу. Те, кто пишет, что здесь тесно и шумно, значит был с экскурсией и в принципе не мог оценить западную половину. Хотя надо признаться, что большинство узнают об этом пляже именно из экскурсии по четырем островам. В восточной части кроме достопримечательностей присутствует развлекаловка в виде скалолазов, которых можно наблюдать утром и вечером. Во время большого прилива от пляжа остается узкая полоска. Кто же приплывает сюда на пляжный отдых, то в основном располагаются по центру ближе к лонгтейлам с едой. Отшельники бросают кости в западной части, более спокойной, особенно после 10 утра, когда лонгтейлы перестают причаливать с этой стороны. Как по мне, то по цене-качеству - это самый лучший пляж в Ао Нанге."
6,нояб. 2019 г.,"5,0 из 5 кружков",Красивейший пляж на Рейлей,"Мы приплыли из Ао-Нанга довольно рано, около 8.00, поэтому застали пляж довольно пустым. Потом, конечно, понаехали. Сюда приплывают лодочки со снедью. Цены вполне нормальные, соизмеримые с ценами в Ао-Нанге. Можно перекус с собой не тащить. Например, том ям стоил 120 бат (правда, порция была поменьше обычной кафешной), пад тай с морепродуктами - 80.Если вы неплохой пловец, обязательно сплавайте вокруг скалы - там такие сталактиты, а еще грот!"
7,нояб. 2019 г. • Для двоих,"4,0 из 5 кружков",Красиво и чисто ,"Действительно красивый и более-менее чистый пляж.Всего за 100 бат от АоНанга вас туда довезут на лодке. Есть там особо негде а там где есть еда , она дорогая и того не стоит. Съездить туда можно только для того чтобы полюбоваться видами скал и сделать пару фотографий. "
8,февр. 2019 г.,"5,0 из 5 кружков",Классное место!,"Очень живописный пляж! Но приезжать лучше рано утром, когда мало людей. Иначе можно не найти место.Иногда был закрыт туалет, что не очень удобно."
9,апр. 2019 г. • Для двоих,"4,0 из 5 кружков",Знакомство с Пещерой Пхра Нанг и историей принцессы 👸🏼 ,"Ничего особенного на первый взгляд 👀, ну куча мужских достоинств в пещере .. так что мы сначала оценили бомбический пляж 🏖 а к 11 ти часам и его популярность ! Народу было как в Московском метро в час пик 😄.   Потом уже подошли «алтарю» и ощутили всю святость пещеры для тайцев , это мы прыгаем , фоткаемся и смеёмся , а они отдают дань уважения принцессе Пхра Нанг и ухаживают за пещерой. Как раз 11.04.2019 было Др моей подруги , так я забацала видео поздравление и естественно пожелала ей активного мужчину в её жизни 😂, по фото ниже вы все поймёте !  К сожалению , я не восприняла пещеру в серьёз , а вот история принцессы 👸🏼 интересная , прочтите , прежде чем посетить)))) • по пути к Пхра Нанг , есть View Point  не поленитесь и заберитесь вас ждут чарующие виды😍(желательны кроссовки) !!! P.s пляж 🏝 в отлив вообще прекрасен, можно пролезть на скалы с левой стороны.  А вообще берите каяк , увидите куда больше ))) "
0,июнь 2019 г. • Семейный отдых,"5,0 из 5 кружков",Отличная остановка,"Есть место и для купания и для красивых фотографий. Есть ресторан, но цены в нем высокие, советую сперва почитать меню."
1,апр. 2019 г. • Для двоих,"3,0 из 5 кружков",Жалко это чудесное место,"Этот пляж не вмещает толпы туристов, которые привозят сюда ежечасно. Вода мутная и каждый метр квадратный наполнен людьми.Место красивое, но полюбоваться им удастся, если вы окажетесь здесь очень ранним утром.Лежаки надо брать с собой, попить тоже."
2,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Райский уголок,"Разве нужны вам острова!!! Этот пляж может заменить вам поездки на острова, пляж «Баунти», чистая вода, безумно красивые горы. Здесь надо побывать, обязательно.Добраться сюда можно с пляжа Ао Нанг на тайских лодочках до пляжа Райли за 150 бат.Возьмите с собой еду, тут нет кафешек, есть лодочки кафешки, но так как нет проточной воды есть вероятность съесть что нибудь не очень хорошее.С утра тут всегда много народу, могут быть неудобства .Несмотря на все сказанное выше, тут сказочно красиво!!!"
3,дек. 2018 г. • С друзьями,"4,0 из 5 кружков",Идеальный на мой взгляд пляж!,"Пляж нем очень понравился,я вообще безумно влюблена в провинцию Краби.Пляж не большой,но места всем хватает. Песочек белый, мягкий и мелкий. Вода идеально чистая и прозрачная. Очень живописный вид на скалы и острова. Есть естественная тень от деревьев, парочка кафе.Дно песчаное с пологим входом. Преимущественный континент это молодежь иностранцы, играют на гитаре и бамбуковых барабанах, очень калоритно. Так на пляж есть своеобразная достопримечательность,это пещера богини плодородия,в которую верующие и не только сносят фаллосы всех цветов и размеров. Мы добрались до пляжа на качке,с соседнего пляжа который нам не понравился.Очень запоминающееся место, жду когда снова сюда вернусь.Из минусов только труднодоступность, можно добраться только на арендованной лодке или на каяке."
4,март 2019 г. • Семейный отдых,"2,0 из 5 кружков","Мелко, людно, шумно...","Абсолютно непонятны многочисленные восторги. Толпа народу уже в 8 утра, в море чувствуешь себя креветкой в тарелке с том ямом, насколько людно. Чад от постоянно прибывающих и отплывающих лодок. Расхваленный Храм деревянных пиписок - унылое и жалкое зрелище. "
5,март 2019 г. • С друзьями,"1,0 из 5 кружков",Были во время экскурсии на 4 острова да и раньше,"Во время экскурсий вообще делать нечего там , народу дофига , все куда-то идут и не понятно куда. Если просто приехать , тоже особо делать нечего. Есть пляжи и по лучше и добраться до них проще"
6,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",отличны пляж,ето самы прекрасны пляж на острове Реили есть тень от солнца  прекрасны вид чистая вода можно полазить по скалам и камнями на лодках отличная еда
7,нояб. 2018 г. • Для двоих,"3,0 из 5 кружков","Красивая природа, но слишком много людей","На этот пляж можно добраться из Ао Нанга за 200 бат в обе стороны. Как и во всей провинции, пляж окружен красивой природой, известняковыми скалами и бирюзовой водой. Интересно посмотреть, но больше одного раза туда не появилось желания ехать. Во время высокого сезона слишком много людей для такого маленького пляжа протяженностью меньше 500 метров. Если ехать туда, то с самого утра. Соседний пляж Рейли понравился намного больше."
8,февр. 2019 г. • Для двоих,"5,0 из 5 кружков",Прекрасный пляж на Рейли!,"Пляж прекрасный, Вода чудесная, вид просто волшебный! Особенно если плавать возле скалы! На скале Rock можно взять снаряжение и позаниматься скалолазанием. Особенно впечатляет дорога вдоль этой скалы с пляжа Рейли Вест на Прананг. Приезжали с Аонанге два раза, один из которых с ночёвкой в отеле Railay Bay. Рано утром пошли на Прананг, никого на пляже не было, вода была отличная, получили несказанное удовольствие. На пляж привозят туристов с 10 -16, поэтому он битком, но места всем хватает! Пляж шикарный!!! Есть обзор отеля и пляжей на Рейли на моем канале на YouTube МиленаМика travel, заходите, подписывайтесь,там много интересного)!👍🏻"
9,янв. 2019 г. • Для двоих,"5,0 из 5 кружков",Замечательный пляж в окрестностях Ао Нанга,"Добраться сюда можно за 100 бат в одну сторону с человека и прогулявшись вдоль скал с Рейли Вест. Уехать обратно сможете на любой лодке до 6.00 вечера.По полуострову гуляет множество обезьянок, некоторые с малышами - очень занятно на них смотреть. Скалы рядом с пляжем поражают воображение. Вода чистая, песок белый, что еще нужно для счастья? Да, конечно, чуть-чуть поменьше бы туристов, но что делать, все хотят насладиться прекрасной природой здешних мест."
0,февр. 2020 г.,"5,0 из 5 кружков",Лучший пляж!,"Обязательное к посещению место! Пляж нереальной красоты! Большая часть людей тусуется в начале пляжа, возле пещеры. Там поглубже, что актуально во время отлива. Мы же обычно уходили в самый дальний конец, там почти никого нет, красивые скалы, отличный вид."
1,март 2020 г. • Для двоих,"5,0 из 5 кружков",Лучший пляж рядом с Ао Нанг,"Отличное место, недалеко от Ао Нанг, на острове Рейли.Можно добраться на лодке, либо пешком - 10 минут от Рейли Вест"
2,янв. 2020 г. • Семейный отдых,"4,0 из 5 кружков",Своеобразное место,"Пляж достаточно красивый. Вода не самая чистая, но вполне хорошая. Сам пляж с чистым белым песком, очень большой, но тем не менее народу на пляже оооочень много, на самом пляже и в воде. Скала, конечно, очень красивая, но исключительно для фото. Очень интересно, что еда продается с лодок, еда есть всякая: и том ям и кукуруза, и пиво в пакетиках тоже продадут:) туалета так и не нашли, но можно попросится в отеле. Мы ехали с совершенно другими ожиданиями, этот пляж их не оправдал, поэтому судить сложно. Но впечатления очень положительные."
